model,label_fraction,seed,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error
SupervisedBaseline_GMM,0.2,4,0.8146689638198376,0.7968256985109775,0.8113036951370395,0.8205696202531646,0.7987173994674486,0.814963681081934,0.005900656433327045,0.5587407169950893,
SemiSupervisedGMM,0.05,0,0.8855525473787842,0.9083099079403072,0.9125225977538571,0.8832278481012659,0.9049092175893618,0.9087158912205272,-0.0023246992775183273,0.3880106440046802,
SemiSupervisedGMM,0.05,1,0.9027811961604726,0.9197114771187229,0.9228563379142818,0.8851265822784811,0.9076850746450644,0.9112290878623046,-0.01765461388199152,0.16776192700490355,
SemiSupervisedGMM,0.05,2,0.8946591188776766,0.9171136911061659,0.9211706644641365,0.885759493670886,0.9053967997130554,0.9090403338105982,-0.008899625206790551,0.20162851399800275,
SemiSupervisedGMM,0.05,3,0.8857986709328083,0.9070156916135416,0.9108187856392661,0.8947257383966245,0.9153025722465699,0.9181724075507832,0.008927067463816218,0.17636175300140167,
SemiSupervisedGMM,0.05,4,0.8899827713512183,0.9101543143953016,0.912383661254456,0.8955696202531646,0.9148778133371344,0.9179744854412363,0.005586848901946273,0.2488086099983775,
SemiSupervisedGMM,0.1,0,0.8909672655673148,0.9127147529613138,0.9166589759624914,0.8919831223628693,0.9115285678074988,0.9146827583428057,0.0010158567955544928,0.18582960500498302,
SemiSupervisedGMM,0.1,1,0.9049963081466896,0.9210315390372333,0.9237797658114894,0.8883966244725738,0.9099717453886876,0.9133454492631327,-0.016599683674115795,0.13553502899594605,
SemiSupervisedGMM,0.1,2,0.8985970957420625,0.9204544496405882,0.9239569984035977,0.8890295358649789,0.9082712282420388,0.9114109931713076,-0.009567559877083576,0.1840440279993345,
SemiSupervisedGMM,0.1,3,0.8899827713512183,0.9098963417658699,0.9133851379255409,0.8982067510548524,0.9173769797946811,0.9197576484519733,0.008223979703634088,0.21251456999743823,
SemiSupervisedGMM,0.1,4,0.891213389121339,0.9125138001457922,0.9151857684768361,0.895042194092827,0.9149462907567507,0.9185441510893628,0.0038288049714880756,0.14138815199839883,
SemiSupervisedGMM,0.2,0,0.9003199606202313,0.9193997808034741,0.922589866193933,0.9008438818565401,0.9175632053419794,0.9203075094005871,0.0005239212363087331,0.1928272629957064,
SemiSupervisedGMM,0.2,1,0.9106571498892444,0.925231150052995,0.9272381294499802,0.895464135021097,0.9152197881332347,0.9177122663770206,-0.015193014868147392,0.1967672440005117,
SemiSupervisedGMM,0.2,2,0.9054885552547379,0.9252285672003939,0.9279583220660607,0.8979957805907173,0.9148324859502633,0.9172228339218942,-0.007492774664020652,0.19383892599580577,
SemiSupervisedGMM,0.2,3,0.8924440068914595,0.9101944797375197,0.9135684905776617,0.9006329113924051,0.9166267524075401,0.9193120390430448,0.00818890450094556,0.29191701999661746,
