model,label_fraction,seed,covariance_type,reg_covar,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error,max_constraints
SemiSupervisedGMM,0.1,1,tied,0.01,0.842234801870539,0.8727686886498714,0.8708965075123901,0.8388185654008439,0.8736540327744889,0.8723708109937204,-0.003416236469695133,0.30967400199733675,,
SemiSupervisedGMM,0.1,2,tied,0.01,0.8483878907211421,0.8809352188789356,0.8800015528918461,0.845886075949367,0.8760112774049685,0.8739902794446195,-0.002501814771775024,0.3014111619995674,,
SemiSupervisedGMM,0.1,0,diag,1e-06,0.8749692345557469,0.8826395905666777,0.887036202693433,0.8778481012658228,0.8858930869975746,0.8887337081649892,0.002878866710075867,0.1873339060039143,,
SemiSupervisedGMM,0.1,1,diag,1e-06,0.8828451882845189,0.8870108201713062,0.8909948558015647,0.8723628691983122,0.8825488140229644,0.8865173589442608,-0.01048231908620667,0.19401891599409282,,
SemiSupervisedGMM,0.1,2,diag,1e-06,0.8764459758798917,0.8848593594708578,0.8881590912403077,0.8715189873417721,0.8789076639553626,0.8824949624654282,-0.00492698853811957,0.1803467179997824,,
SemiSupervisedGMM,0.1,0,diag,0.0001,0.8754614816637952,0.8830234936930933,0.8873510701401789,0.8778481012658228,0.8858579098704661,0.8886566973562712,0.002386619602027573,0.17598942200129386,,
SemiSupervisedGMM,0.1,1,diag,0.0001,0.8825990647304947,0.8868602000164566,0.890860591569556,0.8725738396624473,0.8828070648007369,0.8867587190668926,-0.010025225068047372,0.1978550819985685,,
SemiSupervisedGMM,0.1,2,diag,0.0001,0.8766920994339158,0.8850559444386207,0.8884151076253562,0.8715189873417721,0.8788807322599498,0.8824179516567101,-0.005173112092143661,0.17379509699821938,,
SemiSupervisedGMM,0.1,0,diag,0.01,0.8766920994339158,0.8849031276560998,0.8882976537030096,0.8811181434599156,0.8897957682822923,0.8915484681263138,0.004426044025999776,0.12693579999904614,,
SemiSupervisedGMM,0.1,1,diag,0.01,0.8862909180408565,0.8903063752448185,0.892491744878929,0.8738396624472574,0.8838987241907,0.8867024012802912,-0.012451255593599053,0.1348281489990768,,
SemiSupervisedGMM,0.1,2,diag,0.01,0.8801378291902535,0.8885416817179447,0.8908746762859596,0.8746835443037975,0.882202817402831,0.8844971682166632,-0.005454284886456051,0.153251547999389,,
SemiSupervisedGMM,0.1,0,spherical,1e-06,0.8567560915579621,0.8737460691060941,0.8746977223786037,0.860337552742616,0.8770510586907861,0.8774980215879635,0.003581461184653967,0.14470992700080387,,
SemiSupervisedGMM,0.1,1,spherical,1e-06,0.8631553039625892,0.8770901965099548,0.87852850933216,0.8595991561181434,0.8775715041901038,0.8788057812358219,-0.0035561478444458006,0.14982351199432742,,
SemiSupervisedGMM,0.1,2,spherical,1e-06,0.866847157272951,0.8836066243932408,0.8853255128622395,0.8568565400843882,0.8738376227694439,0.8749908498002208,-0.009990617188562867,0.13845402500010096,,
SemiSupervisedGMM,0.1,0,spherical,0.0001,0.8567560915579621,0.8737460691060941,0.8746977223786037,0.8604430379746836,0.8771021480051118,0.8775754509336855,0.003686946416721515,0.1546874880004907,,
